site,data_collector,date,plant genus and species,time_start,time_end,minutes_sampled,notes,data_enterer,
mee,cs,17vi2020,Anemone canadensis,923,1000,10,,CS,
mee,cs,17vi2020,Viburnum opulus var. americanum,1010,1119,10,,LL,
mee,cs,17vi2020,Cornus sericea,1142,1202,10,,LL,
mee,cs,17vi2020,Silene vulgaris,1214,1233,10,,LL,
mee,cs,17vi2020,Anemone canadensis,1255,1320,10,,LL,
mee,cs,17vi2020,Viburnum opulus var. americanum,1332,1346,10,,LL,
mee,cs,17vi2020,Cornus sericea,1348,1402,10,0 bees,LL,
mee,cs,17vi2020,Silene vulgaris,1412,1424,10,,LL,
mee,cs,18vi2020,Silene vulgaris,908,931,10,,LL,
mee,cs,18vi2020,Cornus sericea,939,954,10,,LL,
mee,cs,18vi2020,Viburnum opulus var. americanum,1002,1030,10,,LL,
mee,cs,18vi2020,Anemone canadensis,1043,1110,10,,LL,
mee,cs,18vi2020,Silene vulgaris,1126,1134,10,0 bees,LL,
mee,cs,18vi2020,Cornus sericea,1142,1153,10,0 bees,LL,
mee,cs,18vi2020,Viburnum opulus var. americanum,1200,1238,10,,LL,
mee,cs,18vi2020,Anemone canadensis,1259,1317,10,,LL,
mee,cs,19vi2020,Cornus sericea,905,921,10,,LL,
mee,cs,19vi2020,Viburnum opulus var. americanum,924,1006,10,,LL,
mee,cs,19vi2020,Silene vulgaris,1023,1035,10,0 bees,LL,
mee,cs,19vi2020,Anemone canadensis,1041,1105,10,,LL,
mee,cs,19vi2020,Cornus sericea,1135,1146,10,0 bees,LL,
mee,cs,19vi2020,Viburnum opulus var. americanum,1149,1213,10,,LL,
mee,cs,19vi2020,Silene vulgaris,1227,1240,10,0 bees,LL,
mee,cs,19vi2020,Anemone canadensis,1248,1333,10,took call in the middle,LL,
mee,bh,17vi2020,Cornus sericea,926,941,10,,LL,
mee,bh,17vi2020,Silene vulgaris,948,959,10,0 bees,LL,
mee,bh,17vi2020,Anemone canadensis,1010,1109,10,,LL,
mee,bh,17vi2020,Viburnum opulus var. americanum,1122,1214,10,,LL,
mee,bh,17vi2020,Cornus sericea,1255,1316,10,,LL,
mee,bh,17vi2020,Silene vulgaris,1320,1331,10,0 bees,LL,
mee,bh,17vi2020,Anemone canadensis,1335,1346,10,0 bees,LL,
mee,bh,17vi2020,Viburnum opulus var. americanum,1352,1408,10,,LL,
mee,bh,18vi2020,Viburnum opulus var. americanum,832,927,10,,LL,
mee,bh,18vi2020,Anemone canadensis,930,1007,10,,LL,
mee,bh,18vi2020,Silene vulgaris,1025,1044,10,,LL,
mee,bh,18vi2020,Cornus sericea,1045,1108,10,,LL,
mee,bh,18vi2020,Viburnum opulus var. americanum,1110,1159,10,,LL,
mee,bh,18vi2020,Anemone canadensis,1202,1214,10,0 bees,LL,
mee,bh,18vi2020,Silene vulgaris,1221,1232,10,0 bees,LL,
mee,bh,18vi2020,Cornus sericea,1237,1253,10,,LL,
mee,bh,19vi2020,Anemone canadensis,907,930,10,,LL,
mee,bh,19vi2020,Silene vulgaris,942,954,10,0 bees,LL,
mee,bh,19vi2020,Cornus sericea,1000,1021,10,,LL,
mee,bh,19vi2020,Viburnum opulus var. americanum,1026,1104,10,,LL,
mee,bh,19vi2020,Anemone canadensis,1110,1122,10,,LL,
mee,bh,19vi2020,Silene vulgaris,1131,1142,10,0 bees,LL,
mee,bh,19vi2020,Cornus sericea,1145,1201,10,,LL,
mee,bh,19vi2020,Viburnum opulus var. americanum,1216,1234,10,,LL,
mud,cs,29vi2020,Lysimachia ciliata,952,1020,10,,LL,
mud,cs,29vi2020,Echium vulgare,1026,1050,10,,LL,
mud,cs,29vi2020,Sedum acre,1058,1121,10,,LL,
mud,cs,29vi2020,Rhus typhina,1138,1234,10,,LL,
mud,cs,29vi2020,Lysimachia ciliata,1220,1254,10,,LL,
mud,cs,29vi2020,Echium vulgare,1313,1337,10,,LL,
mud,cs,29vi2020,Rhus typhina,1350,1423,10,Switched order of Rhus and Sedum,LL,
mud,cs,29vi2020,Sedum acre,1426,NA,NA,Switched order of Rhus and Sedum,LL,
mud,cs,2vii2020,Sedum acre,856,915,,,LL,
mud,cs,2vii2020,Echium vulgare,921,948,10,,LL,
mud,cs,2vii2020,Rhus typhina,1142,1208,10,,LL,
mud,cs,2vii2020,Lysimachia ciliata,1204,1221,10,,LL,
mud,cs,2vii2020,Sedum acre,1225,1240,10,,LL,
mud,cs,3vii2020,Echium vulgare,1252,1312,10,Stopped bc bad weather. Sampled 3 July,LL,
mud,cs,3vii2020,Rhus typhina,1319,1335,10,Stopped bc bad weather. Sampled 3 July,LL,
mud,cs,3vii2020,Lysimachia ciliata,1339,1354,10,Stopped bc bad weather. Sampled 3 July,LL,
mud,cs,3vii2020,Lysimachia ciliata,905,930,10,,LL,
mud,cs,3vii2020,Rhus typhina,935,956,10,,LL,
mud,cs,3vii2020,Echium vulgare,1006,1021,10,,LL,
mud,cs,3vii2020,Sedum acre,1025,1051,10,,LL,
mud,cs,3vii2020,Lysimachia ciliata,1056,1119,10,,LL,
mud,cs,3vii2020,Rhus typhina,1122,1141,10,,LL,
mud,cs,3vii2020,Echium vulgare,1146,1208,10,,LL,
mud,cs,3vii2020,Sedum acre,1220,NA,NA,,LL,
mud,bh,29vi2020,Echium vulgare,953,1013,10,,LL,
mud,bh,29vi2020,Rhus typhina,1035,1141,10,,LL,
mud,bh,29vi2020,Lysimachia ciliata,1142,1158,10,,LL,
mud,bh,29vi2020,Sedum acre,1203,1220,10,,LL,
mud,bh,29vi2020,Echium vulgare,1226,1242,10,,LL,
mud,bh,29vi2020,Rhus typhina,1250,1316,10,,LL,
mud,bh,29vi2020,Lysimachia ciliata,1319,1331,10,0 bees,LL,"
"
mud,bh,29vi2020,Sedum acre,1335,1356,10,,LL,
mud,bh,2vii2020,Rhus typhina,907,925,10,,LL,
mud,bh,2vii2020,Lysimachia ciliata,928,958,10,,LL,
mud,bh,2vii2020,Sedum acre,1142,1155,10,,LL,
mud,bh,2vii2020,Echium vulgare,1203,1228,10,,LL,
mud,bh,2vii2020,Rhus typhina,1234,1246,10,0 bees,LL,
mud,bh,3vii2020,Lysimachia ciliata,1216,1236,10,on datasheet from 2vii2020,LL,
mud,bh,3vii2020,Sedum acre,1241,1301,10,on datasheet from 2vii2020,LL,
mud,bh,3vii2020,Echium vulgare,1312,1328,10,on datasheet from 2vii2020,LL,
mud,bh,3vii2020,Echium vulgare,901,919,10,,LL,
mud,bh,3vii2020,Sedum acre,925,938,10,0 bees,LL,
mud,bh,3vii2020,Lysimachia ciliata,946,1002,10,,LL,
mud,bh,3vii2020,Rhus typhina,1007,1024,10,,LL,
mud,bh,3vii2020,Echium vulgare,1030,1044,10,,LL,
mud,bh,3vii2020,Sedum acre,1052,1128,10,,LL,
mud,bh,3vii2020,Lysimachia ciliata,1134,1151,10,,LL,
mud,bh,3vii2020,Rhus typhina,1155,1211,10,,LL,
orl,cs,7vii2020,Lysimachia ciliata,859,912,10,0 bees,LL,
orl,cs,7vii2020,Convolvulus arvensis,917,945,10,,LL,
orl,cs,7vii2020,Echium vulgare,951,1019,10,,LL,
orl,cs,7vii2020,Lysimachia ciliata,1027,1046,10,,LL,
orl,cs,7vii2020,Convolvulus arvensis,1053,1120,10,,LL,
orl,cs,7vii2020,Echium vulgare,1131,1200,10,,LL,
orl,cs,7vii2020,Lysimachia ciliata,1210,1225,10,,LL,
orl,cs,7vii2020,Convolvulus arvensis,1235,1300,10,,LL,
orl,cs,7vii2020,Echium vulgare,1311,1329,10,,LL,
orl,cs,8vii2020,Echium vulgare,903,920,10,,LL,
orl,cs,8vii2020,Lysimachia ciliata,928,946,10,,LL,
orl,cs,8vii2020,Convolvulus arvensis,959,1035,10,,LL,
orl,cs,8vii2020,Echium vulgare,1058,1127,10,,LL,
orl,cs,8vii2020,Lysimachia ciliata,1132,1150,10,,LL,
orl,cs,8vii2020,Convolvulus arvensis,1155,1220,10,,LL,
orl,cs,8vii2020,Echium vulgare,1244,1320,10,,LL,
orl,cs,8vii2020,Lysimachia ciliata,1325,1341,10,,LL,
orl,cs,8vii2020,Convolvulus arvensis,1348,1413,10,0 bees,LL,
orl,bh,7vii2020,Echium vulgare,858,920,10,,LL,
orl,bh,7vii2020,Lysimachia ciliata,922,937,10,,LL,
orl,bh,7vii2020,Convolvulus arvensis,944,1020,10,,LL,
orl,bh,7vii2020,Echium vulgare,1030,1054,10,,LL,
orl,bh,7vii2020,Lysimachia ciliata,1059,1111,10,0 bees,LL,
orl,bh,7vii2020,Convolvulus arvensis,1126,1145,10,,LL,
orl,bh,7vii2020,Echium vulgare,1154,1212,10,,LL,
orl,bh,7vii2020,Lysimachia ciliata,1234,1245,10,0 bees,LL,
orl,bh,7vii2020,Convolvulus arvensis,1253,1307,10,,LL,
orl,bh,8vii2020,Convolvulus arvensis,858,927,10,,LL,
orl,bh,8vii2020,Echium vulgare,938,1014,10,,LL,
orl,bh,8vii2020,Lysimachia ciliata,1022,1033,10,0 bees,LL,
orl,bh,8vii2020,Convolvulus arvensis,1039,1059,10,,LL,
orl,bh,8vii2020,Echium vulgare,1109,1148,10,,LL,
orl,bh,8vii2020,Lysimachia ciliata,1154,1204,10,0 bees ,LL,
orl,bh,8vii2020,Convolvulus arvensis,1207,1226,10,,LL,
orl,bh,8vii2020,Echium vulgare,1241,1255,10,,LL,
orl,bh,8vii2020,Lysimachia ciliata,1319,1329,10,0 bees,LL,
cha,cs,9vii2020,Daucus carota,935,952,10,0 bees,LL,
cha,cs,9vii2020,Lythrum salicaria,1018,1033,10,0 bees,LL,
cha,cs,9vii2020,Lysimachia ciliata,1042,1058,10,,LL,
cha,cs,9vii2020,Daucus carota,1121,1134,10,0 bees,LL,
cha,cs,9vii2020,Lythrum salicaria,1146,1202,10,,LL,
cha,cs,9vii2020,Lysimachia ciliata,1220,1250,10,,LL,
cha,cs,9vii2020,Daucus carota,1306,1332,10,,LL,
