uniqueID,genus,species,det_by,sex,date_determined,taxonomy_note,,,,,,,
1,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
2,Megachile,campanulae,CA,M,9xii2021,,,,,,,,
3,Megachile,sp.,CA,M,9xii2021,,,,,,,,
4,Bombus,impatiens,SL,F,19i2021,,,,,,,,
5,Bombus,impatiens,SL,F,19i2021,,,,,,,,
6,Bombus,griseocollis,SL,M,19i2021,,,,,,,,
7,Bombus,impatiens,SL,F,19i2021,,,,,,,,
8,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
9,Bombus,impatiens,SL,F,20i2021,,,,,,,,
10,Augochlora,pura,CA + SL,F,15i2021,,,,,,,,
11,Bombus,impatiens,SL,F,19i2021,,,,,,,,
12,Bombus,impatiens,SL,F,19i2021,,,,,,,,
13,Lasioglossum,,,,21i2021,,,,,,,,
14,Lasioglossum,,,,21i2021,,,,,,,,
15,Lasioglossum,,,,21i2021,,,,,,,,
16,Lasioglossum,,,,21i2021,,,,,,,,
17,Lasioglossum,,,,21i2021,,,,,,,,
18,Bombus,impatiens,SL,F,20i2021,,,,,,,,
19,Bombus,impatiens,SL,F,19i2021,,,,,,,,
20,Bombus,impatiens,SL,F,19i2021,,,,,,,,
21,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
22,Bombus,impatiens,SL,F,19i2021,,,,,,,,
23,Bombus,impatiens,SL,F,19i2021,,,,,,,,
24,Special ID not used,,,,,,,,,,,,
25,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
26,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
27,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
28,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
29,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
30,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
31,Peponapis,pruinosa,SL + CA,F,15i2021,,,,,,,,
32,Bombus,terricola,SL,F,19i2021,,,,,,,,
33,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
34,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
35,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
36,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
