unique_id,general_id,plant_code,site,collector,date,sex,pollen_amount,pinner,date_pinned,note,data
1,honeybee,lytsal,pet,cs,19vii2020,f,full,cs,4viii2020,NA,TRUE
2,megachilidea,lytsal,pet,cs,19vii2020,f,none,cs,4viii2020,NA,TRUE
3,megachilidea,lytsal,pet,cs,19vii2020,f,none,cs,4viii2020,NA,TRUE
4,bombus,poncor,fee,bh,17vii2020,f,full,cs,4viii2020,NA,TRUE
5,bombus,poncor,fee,bh,17vii2020,f,full,sa,4viii2020,NA,TRUE
6,bombus,poncor,fee,bh,17vii2020,f,none,sa,4viii2020,NA,TRUE
7,bombus,poncor,fee,bh,17vii2020,f,full,sa,4viii2020,NA,TRUE
8,honeybee,poncor,fee,bh,17vii2020,f,full,sa,4viii2020,NA,TRUE
9,bombus,poncor,fee,bh,17vii2020,f,full,sa,4vii2020,NA,TRUE
10,green sweat bee,vertha,har,sa,29vii2020,f,some,sa,4viii2020,NA,TRUE
11,bombus,vertha,har,sa,29vii2020,f,full,sa,4viii2020,NA,TRUE
12,bombus,vertha,har,sa,29vii2020,f,full,sa,4viii2020,NA,TRUE
13,small bee,vertha,har,sa,29vii2020,f,some,sa,4viii2020,NA,TRUE
14,small bee,vertha,har,sa,29vii2020,f,some,sa,4viii2020,NA,TRUE
15,small bee,vertha,har,sa,29vii2020,f,some,sa,4viii2020,NA,TRUE
16,small bee,vertha,har,sa,29vii2020,f,some,sa,4viii2020,NA,TRUE
17,small bee,vertha,har,sa,29vii2020,f,some,sa,4viii2020,NA,TRUE
18,bombus,poncor,pet,cs,20vii2020,f,some,sa,4viii2020,NA,TRUE
19,bombus,poncor,pet,cs,20vii2020,f,full,sa,4viii2020,NA,TRUE
20,bombus,poncor,pet,cs,20vii2020,f,full,sa,4viii2020,NA,TRUE
21,honeybee,poncor,pet,cs,20vii2020,f,none,sa,4viii2020,NA,TRUE
22,bombus,poncor,pet,cs,20vii2020,f,full,sa,4viii2020,NA,TRUE
23,bombus,poncor,pet,cs,20vii2020,f,none,sa,4viii2020,NA,TRUE
25,pep,cucpep,har,sa,29vii2020,f,none,cs,4viii2020,NA,TRUE
26,pep,cucpep,har,sa,29vii2020,f,none,cs,4viii2020,NA,TRUE
27,pep,cucpep,har,sa,29vii2020,f,full,cs,4viii2020,"one leg full, one none",TRUE
28,pep,cucpep,har,sa,29vii2020,f,some,cs,4viii2020,NA,TRUE
29,pep,cucpep,har,sa,29vii2020,f,some,cs,4viii2020,NA,TRUE
30,pep,cucpep,har,sa,29vii2020,f,none,cs,4viii2020,NA,TRUE
31,pep,cucpep,har,sa,29vii2020,f,none,cs,4viii2020,NA,TRUE
32,bumble,daucar,fee,cs,17vii2020,f,full,cs,4viii2020,"17viii2020-there are 2 pollen slides labelled 32 and none 34. shifted things up I ie 2nd 32 to 33, 33 to 34",TRUE
33,bumble,daucar,fee,cs,17vii2020,f,full,cs,4viii2020,NA,TRUE
34,honeybee,daucar,fee,cs,17vii2020,f,full,cs,4viii2020,NA,TRUE
35,honeybee,daucar,fee,cs,17vii2020,f,full,cs,4viii2020,NA,TRUE
36,honeybee,daucar,fee,cs,17vii2020,f,full,cs,4viii2020,NA,TRUE
37,megachilidea,daucar,fee,cs,17vii2020,f,some/full,cs,4viii2020,NA,TRUE
38,andrena,daucar,fee,cs,17vii2020,f,full,cs,4viii2020,NA,TRUE
39,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,"one leg full, one some",TRUE
40,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,NA,TRUE
41,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,"one leg full, one some",TRUE
42,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,NA,TRUE
43,bombus,prusus,orl,cs,7viii2020,f,some/full,cs,10viii2020,NA,TRUE
44,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,NA,TRUE
45,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,one leg some,TRUE
46,bombus,prusus,orl,cs,7viii2020,f,full,cs,10viii2020,"17viii2020, 2 pollen slides labelled 46 and no 48. Changed 2nd 46 to 47and 47 to 48",TRUE
47,apis,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
48,bombus,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,one leg some,TRUE
49,bombus,lytsal,orl,bh,6viii2020,f,some/full,cs,10viii2020,NA,TRUE
50,megachilidea,lytsal,orl,bh,6viii2020,f,none,cs,10viii2020,NA,TRUE
51,lasio,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
52,bumble,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
53,bombus,lytsal,orl,bh,6viii2020,m,none,cs,10viii2020,didn't take pollen,TRUE
54,green,lytsal,orl,bh,6viii2020,f,none,cs,10viii2020,NA,TRUE
55,lasio,lytsal,orl,bh,6viii2020,f,none,cs,10viii2020,NA,TRUE
56,apis,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,one leg some,TRUE
57,apis,lytsal,orl,bh,6viii2020,f,some,cs,10viii2020,NA,TRUE
58,bombus,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,"pollen slide missing, made new one from pinned specimen",TRUE
59,apis,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
60,bombus,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
61,apis,lytsal,orl,bh,6viii2020,f,some,cs,10viii2020,one leg some,TRUE
62,apis,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
63,bombus,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
64,apis,lytsal,orl,bh,6viii2020,f,full,cs,10viii2020,NA,TRUE
65,green,cicint,fee,bh,17vii2020,f,none,cs,10viii2020,pollen on body,FALSE
66,green,cicint,fee,bh,17vii2020,f,some,cs,10viii2020,pollen on body,FALSE
67,bombus,cicint,fee,bh,17vii2020,f,full,cs,10viii2020,NA,FALSE
68,andrena,cicint,fee,bh,17vii2020,f,some,cs,10viii2020,NA,FALSE
69,halictus,cicint,fee,bh,17vii2020,f,some,cs,10viii2020,NA,FALSE
70,bombus,cicint,fee,bh,17vii2020,f,some,cs,10viii2020,very very little residuel,FALSE
71,halictus,cicint,fee,bh,17vii2020,f,full/some,cs,10viii2020,pollen on body,FALSE
72,apis,cicint,fee,bh,17vii2020,f,none,cs,10viii2020,pollen on body,FALSE
73,apis,cicint,fee,bh,17vii2020,f,none,cs,10viii2020,NA,FALSE
75,bombus,prusus,orl,cs,6viii2020,f,full,sa,25viii2020,NA,TRUE
76,bombus,prusus,orl,cs,6viii2020,f,full,sa,25viii2020,NA,TRUE
77,honeybee,prusus,orl,cs,6viii2020,f,full,sa,25viii2020,NA,TRUE
78,honeybee,prusus,orl,cs,6viii2020,f,full,sa,25viii2020,NA,TRUE
