bee,host_plant,plant_rank,region,notes
Andrena_andrenoides,Salix,genus,east,NA
Andrena_arabis,Arabis,genus,east,NA
Andrena_arabis,Cardamine,genus,east,NA
Andrena_asteris,Solidago,genus,east,NA
Andrena_asteris,Symphyotrichum,genus,east,NA
Andrena_asteroides,Symphyotrichum,genus,east,NA
Andrena_bisalicis,Salix,genus,east,NA
Andrena_braccata,Euthamia,genus,east,NA
Andrena_braccata,Solidago,genus,east,NA
Andrena_clarkella,Salix,genus,east,NA
Andrena_cornelli,Rhododendron,genus,east,NA
Andrena_distans,Geranium,genus,east,NA
Andrena_erigeniae,Claytonia,genus,east,NA
Andrena_erythrogaster,Salix,genus,east,NA
Andrena_erythronii,Erythronium,genus,east,NA
Andrena_fragilis,Cornus,genus,east,NA
Andrena_frigida,Salix,genus,east,NA
Andrena_fulvipennis,Chrysopsis,genus,east,NA
Andrena_fulvipennis,Heterotheca,genus,east,NA
Andrena_fulvipennis,Pityopsis,genus,east,NA
Andrena_gardineri,Packera,genus,east,NA
Andrena_geranii,Hydrophyllum,genus,east,NA
Andrena_helianthi,Helianthus,genus,east,NA
Andrena_hirticincta,Euthamia,genus,east,NA
Andrena_hirticincta,Solidago,genus,east,NA
Andrena_hirticincta,Symphyotrichum,genus,east,NA
Andrena_illinoiensis,Salix,genus,east,NA
Andrena_integra,Cornus,genus,east,NA
Andrena_lamelliterga,Phacelia,genus,east,NA
Andrena_macoupinensis,Salix,genus,east,NA
Andrena_mariae,Salix,genus,east,NA
Andrena_nida,Salix,genus,east,NA
Andrena_nigrae,Salix,genus,east,NA
Andrena_nothoscordi,Nothoscordum,genus,east,NA
Andrena_nubecula,Euthamia,genus,east,NA
Andrena_nubecula,Solidago,genus,east,NA
Andrena_nubecula,Symphyotrichum,genus,east,NA
Andrena_parnassiae,Parnassia,genus,east,NA
Andrena_persimulata,Cornus,genus,east,NA
Andrena_phaceliae,Phacelia,genus,east,NA
Andrena_platyparia,Cornus,genus,east,NA
Andrena_polemonii,Polemonium,genus,east,NA
Andrena_rehni,Castanea,genus,east,NA
Andrena_rudbeckiae,Ratibida,genus,east,NA
Andrena_rudbeckiae,Rudbeckia,genus,east,NA
Andrena_salictaria,Salix,genus,east,NA
Andrena_sigmundi,Salix,genus,east,NA
Andrena_simplex,Solidago,genus,east,NA
Andrena_simplex,Symphyotrichum,genus,east,NA
Andrena_uvulariae,Uvularia,genus,east,NA
Andrena_violae,Viola,genus,east,NA
Andrena_wellesleyana,Salix,genus,east,NA
Andrena_ziziae,Zizia,genus,east,NA
Andrena_ziziae,Taenidia,genus,east,?
Andrena_ziziae,Thaspium,genus,east,?
Andrena_ziziaeformis,Potentilla,genus,east,NA
Andrena_ziziaeformis,Waldsteinia,genus,east,NA
Calliopsis_nebraskensis,Verbena,genus,east,NA
Panurginus_atramontensis,Vaccinium,genus,east,NA
Panurginus_potentillae,Potentilla,genus,east,NA
Perdita_bishoppi,Chrysopsis,genus,east,NA
Perdita_bishoppi,Heterotheca,genus,east,NA
Perdita_bishoppi,Pityopsis,genus,east,NA
Perdita_boltoniae,Chrysopsis,genus,east,NA
Perdita_boltoniae,Heterotheca,genus,east,NA
Perdita_boltoniae,Pityopsis,genus,east,NA
Perdita_floridensis,Ilex,genus,east,NA
Perdita_georgica,Chrysopsis,genus,east,NA
Perdita_georgica,Heterotheca,genus,east,NA
Perdita_georgica,Pityopsis,genus,east,NA
Perdita_gerardiae,Agalinis,genus,east,NA
Perdita_gerhardi,Monarda,genus,east,NA
Perdita_graenicheri,Chrysopsis,genus,east,NA
Perdita_graenicheri,Heterotheca,genus,east,NA
Perdita_graenicheri,Pityopsis,genus,east,NA
Perdita_halictoides,Physalis,genus,east,NA
Perdita_maculigera,Salix,genus,east,NA
Perdita_novaeangliae,Lyonia,genus,east,NA
Perdita_obscurata,Diospyros,genus,east,NA
Perdita_obscurata,Vaccinium,genus,east,NA
Perdita_polygonellae,Polygonella,genus,east,NA
Protandrena_abdominalis,Monarda,genus,east,NA
Pseudopanurgus_passiflorae,Passiflora,genus,east,NA
Pseudopanurgus_pauper,Ceanothus,genus,east,NA
Pseudopanurgus_virginicus,Ceanothus,genus,east,NA
Pseudopanurgus_virginicus,Houstonia,genus,east,NA
Habropoda_laboriosa,Cercis,genus,east,NA
Habropoda_laboriosa,Vaccinium,genus,east,NA
melitoma_taurea,Calystegia,genus,east,NA
melitoma_taurea,Ipomoea,genus,east,NA
Ptilothrix_bombiformis,Hibiscus,genus,east,NA
Cemolobus_ipomoeae,Calystegia,genus,east,NA
Cemolobus_ipomoeae,Ipomoea,genus,east,NA
Florilegus_condignus,Pontederia,genus,east,NA
Melissodes_apicata,Pontederia,genus,east,NA
Melissodes_fimbriatus,Oenothera,genus,east,NA
Melissodes_mitchelli,Opuntia,genus,east,NA
Peponapis_pruinosa,Cucurbita,genus,east,NA
Svastra_compta,Oenothera,genus,east,NA
Xenoglossa_kansensis,Cucurbita,genus,east,NA
Xenoglossa_kansensis,Ipomoea,genus,east,NA
Xenoglossa_strenua,Cucurbita,genus,east,NA
Anthophorula_asteris,Symphyotrichum,genus,east,NA
Anthophorula_micheneri,Agalinis,genus,east,NA
Colletes_aestivalis,Heuchera,genus,east,NA
Colletes_aestivalis,Boykinia,genus,east,?
Colletes_aestivalis,Mitella,genus,east,?
Colletes_aestivalis,Tiarella,genus,east,?
Colletes_banksi,Ilex,genus,east,NA
Colletes_brevicornis,Campanula,genus,east,NA
Colletes_brevicornis,Triodanis,genus,east,NA
Colletes_brimleyi,Ilex,genus,east,NA
Colletes_ciliatus,Cuscuta,genus,east,NA
Colletes_francesae,Sideroxylon,genus,east,NA
Colletes_howardi,Dalea,genus,east,NA
Colletes_latitarsis,Physalis,genus,east,NA
Colletes_productus,Lyonia,genus,east,NA
Colletes_productus,Vaccinium,genus,east,NA
Colletes_productus,Vaccinium,genus,east,NA
Colletes_simulans,Euthamia,genus,east,NA
Colletes_simulans,Solidago,genus,east,NA
Colletes_simulans,Symphyotrichum,genus,east,NA
Colletes_solidaginis,Solidago,genus,east,NA
Colletes_willistoni,Physalis,genus,east,NA
Lasioglossum_lustrans,Pyrrhopappus,genus,east,NA
Lasioglossum_oenotherae,Oenothera,genus,east,NA
Lasioglossum_pectinatum,Physalis,genus,east,NA
Dufourea_monardae,Monarda,genus,east,NA
Dufourea_novaeangliae,Pontederia,genus,east,NA
Lithurgopsis_gibbosa,Opuntia,genus,east,NA
Trachusa_dorsalis,Strophostyles,genus,east,NA
Megachile_brimleyi,Galactia,genus,east,NA
Megachile_integra,Galactia,genus,east,NA
Megachile_integra,Strophostyles,genus,east,NA
Megachile_oenotherae,Oenothera,genus,east,NA
Hoplitis_micheneri,Amorpha,genus,east,NA
Hoplitis_simplex,Nemophila,genus,east,NA
Hoplitis_simplex,Phacelia,genus,east,NA
Osmia_calaminthae,Clinopodium,genus,east,NA
Osmia_chalybea,Cirsium,genus,east,NA
Osmia_distincta,Penstemon,genus,east,NA
Osmia_texana,Cirsium,genus,east,NA
Osmia_virga,Vaccinium,genus,east,NA
Macropis_ciliata,Lysimachia,genus,east,NA
Macropis_nuda,Lysimachia,genus,east,NA
Macropis_patellata,Lysimachia,genus,east,NA
Macropis_steironematis,Lysimachia,genus,east,NA
Melitta_americana,Vaccinium,genus,east,NA
Melitta_americana,Vaccinium,genus,east,NA
Melitta_eickworti,Vaccinium,genus,east,NA
Melitta_melittoides,Lyonia,genus,east,NA
