X,species,genus,family,status,category,effort_corrected_abund,raw_abund,species_underscore,category_binary,pollination,poll_binary
Acacia_farnesiana,Acacia farnesiana,Acacia,Fabaceae,prune,nonhost,0.018321943,96,Acacia_farnesiana,0,biotic,2
Acalypha_gracilens,Acalypha gracilens,Acalypha,Euphorbiaceae,prune,nonhost,0.012815944,339,Acalypha_gracilens,0,abiotic,1
Acanthocereus_tetragonus,Acanthocereus tetragonus,Acanthocereus,Cactaceae,prune,nonhost,0.025506121,81,Acanthocereus_tetragonus,0,biotic,2
Actaea_racemosa,Actaea racemosa,Actaea,Ranunculaceae,prune,nonhost,0.197911835,3274,Actaea_racemosa,0,biotic,2
Adlumia_fungosa,Adlumia fungosa,Adlumia,Papaveraceae,prune,nonhost,0.001495117,45,Adlumia_fungosa,0,biotic,2
Adoxa_moschatellina,Adoxa moschatellina,Adoxa,Adoxaceae,prune,nonhost,9.22E-06,1,Adoxa_moschatellina,0,biotic,2
Aeschynomene_indica,Aeschynomene indica,Aeschynomene,Fabaceae,prune,nonhost,0.003680273,60,Aeschynomene_indica,0,biotic,2
Aesculus_pavia,Aesculus pavia,Aesculus,Sapindaceae,prune,nonhost,0.152376576,1719,Aesculus_pavia,0,biotic,2
Agalinis_obtusifolia,Agalinis obtusifolia,Agalinis,Orobanchaceae,prune,specialist_host,0.052272536,739,Agalinis_obtusifolia,1,biotic,2
Agarista_populifolia,Agarista populifolia,Agarista,Ericaceae,prune,nonhost,0.002843539,50,Agarista_populifolia,0,biotic,2
Agastache_foeniculum,Agastache foeniculum,Agastache,Lamiaceae,prune,nonhost,0.00252904,80,Agastache_foeniculum,0,biotic,2
Agrimonia_incisa,Agrimonia incisa,Agrimonia,Rosaceae,prune,nonhost,0.008476787,161,Agrimonia_incisa,0,biotic,2
Agrostis_scabra,Agrostis scabra,Agrostis,Poaceae,prune,nonhost,0.004212048,20,Agrostis_scabra,0,abiotic,1
Aletris_farinosa,Aletris farinosa,Aletris,Nartheciaceae,prune,nonhost,0.037932394,603,Aletris_farinosa,0,biotic,2
Alisma_gramineum,Alisma gramineum,Alisma,Alismataceae,prune,nonhost,0.007016154,100,Alisma_gramineum,0,biotic,2
Alnus_maritima,Alnus maritima,Alnus,Betulaceae,prune,nonhost,0.059647343,887,Alnus_maritima,0,abiotic,1
Alternanthera_flavescens,Alternanthera flavescens,Alternanthera,Amaranthaceae,prune,nonhost,0.001136824,24,Alternanthera_flavescens,0,biotic,2
Alvaradoa_amorphoides,Alvaradoa amorphoides,Alvaradoa,Picramniaceae,prune,nonhost,7.67E-05,2,Alvaradoa_amorphoides,0,biotic,2
Ambrosia_trifida,Ambrosia trifida,Ambrosia,Asteraceae,prune,nonhost,0.11084353,1823,Ambrosia_trifida,0,abiotic,1
Amianthium_muscitoxicum,Amianthium muscitoxicum,Amianthium,Melanthiaceae,prune,nonhost,0.012555101,310,Amianthium_muscitoxicum,0,biotic,2
Ammannia_latifolia,Ammannia latifolia,Ammannia,Lythraceae,prune,nonhost,0.003376418,54,Ammannia_latifolia,0,biotic,2
