beta0,beta1,alpha,prop_hosts,sd,distance,col,beta1_alpha,focal_alpha,b1_index
-1.7,0,0.004987925598542316,0.06416464891041163,0.19823304435881617,0.0012106537530266331,#377EB8,0_0.00498792559854232,FALSE,1
-2.225,0,0.009975851197084632,0.06295399515738499,0.09503693318777566,0,#FFFFCC,0_0.00997585119708463,TRUE,2
-2.65,0,0.04329034047883386,0.06295399515738499,0.017132957522537906,0,#D9D9D9,0_0.0432903404788339,FALSE,3
-2.6750000000000003,0,0.0815927553591254,0.06295399515738499,0.011964455082369133,0,#FCCDE5,0_0.0815927553591254,FALSE,4
-2.6750000000000003,0,0.1,0.06295399515738499,0.01126750240373473,0,#FCCDE5,0_0.1,TRUE,5
-2.6750000000000003,0,0.11989517023941694,0.06295399515738499,0.010700163658895607,0,#FCCDE5,0_0.119895170239417,FALSE,6
-2.6750000000000003,0,0.15819758511970847,0.06416464891041163,0.010016900196693417,0.0012106537530266331,#FCCDE5,0_0.158197585119708,FALSE,7
-2.7,0,0.1965,0.06295399515738499,0.009305472400774178,0,#B3DE69,0_0.1965,FALSE,8
-2.7,0,0.23480241488029155,0.06295399515738499,0.009479556399986802,0,#B3DE69,0_0.234802414880292,FALSE,9
-2.7,0,0.27310482976058315,0.06295399515738499,0.009082705822988773,0,#B3DE69,0_0.273104829760583,FALSE,10
-2.7,0,0.31140724464087466,0.06295399515738499,0.009089400029909779,0,#B3DE69,0_0.311407244640875,FALSE,11
-2.7,0,0.34970965952116617,0.06295399515738499,0.008806430885576077,0,#B3DE69,0_0.349709659521166,FALSE,12
-2.7,0,0.38801207440145774,0.06295399515738499,0.008811866270353394,0,#B3DE69,0_0.388012074401458,FALSE,13
-1.9,0.3,0.004987925598542316,0.06295399515738499,0.17185062514502442,0,#D95F02,0.3_0.00498792559854232,FALSE,14
-2.325,0.3,0.009975851197084632,0.06295399515738499,0.0816704307535126,0,#B3CDE3,0.3_0.00997585119708463,TRUE,15
-2.7,0.3,0.04329034047883386,0.06295399515738499,0.015971783962895107,0,#B3DE69,0.3_0.0432903404788339,FALSE,16
-2.725,0.3,0.0815927553591254,0.06295399515738499,0.011245009891358817,0,#FDB462,0.3_0.0815927553591254,FALSE,17
-2.725,0.3,0.1,0.06416464891041163,0.010580496556264515,0.0012106537530266331,#FDB462,0.3_0.1,TRUE,18
-2.725,0.3,0.11989517023941694,0.06416464891041163,0.010210126311326251,0.0012106537530266331,#FDB462,0.3_0.119895170239417,FALSE,19
-2.75,0.3,0.15819758511970847,0.06295399515738499,0.009654766100006694,0,#80B1D3,0.3_0.158197585119708,FALSE,20
-2.75,0.3,0.1965,0.06295399515738499,0.009284012306281302,0,#80B1D3,0.3_0.1965,FALSE,21
-2.75,0.3,0.23480241488029155,0.06295399515738499,0.009055613170707931,0,#80B1D3,0.3_0.234802414880292,FALSE,22
-2.75,0.3,0.27310482976058315,0.06295399515738499,0.008888069586983884,0,#80B1D3,0.3_0.273104829760583,FALSE,23
-2.75,0.3,0.31140724464087466,0.06295399515738499,0.008833147402361997,0,#80B1D3,0.3_0.311407244640875,FALSE,24
-2.75,0.3,0.34970965952116617,0.06295399515738499,0.008764626076174935,0,#80B1D3,0.3_0.349709659521166,FALSE,25
-2.75,0.3,0.38801207440145774,0.06295399515738499,0.008736734889289487,0,#80B1D3,0.3_0.388012074401458,FALSE,26
