focal_genus,sister_genus,dist,family,closet_rel_spec_host,random,round_picked,same_hab,sister_a_specialist,sisters_not_in_inat,rank,F,pval,residual_df,n_focal,n_sister,family_focal,family_sister,keep,sister_a_crop,focal_a_crop
Salix,Populus,76.077324,Salicaceae,no,FALSE,1,FALSE,FALSE,FALSE,genus,3.919641579,0.015,28,25,5,Salicaceae,Salicaceae,FALSE,FALSE,FALSE
Salix,Xylosma,92.098276,Salicaceae,no,FALSE,2,TRUE,FALSE,TRUE,genus,2.288881699,0.144,24,25,1,Salicaceae,Salicaceae,FALSE,FALSE,FALSE
Salix,Piriqueta,182.252868,Salicaceae,no,FALSE,20,FALSE,FALSE,FALSE,genus,4.09044987,0.047,24,25,1,Salicaceae,Passifloraceae,FALSE,FALSE,FALSE
Salix,Elatine,189.730558,Salicaceae,no,TRUE,21,TRUE,NA,TRUE,genus,2.507291494,0.065,28,25,5,Salicaceae,Elatinaceae,FALSE,FALSE,FALSE
Salix,Triadenum,189.730558,Salicaceae,no,TRUE,28,TRUE,FALSE,TRUE,genus,1.324311081,0.248,27,25,4,Salicaceae,Hypericaceae,TRUE,FALSE,FALSE
Arabis,Draba,37.645576,Brassicaceae,no,FALSE,1,FALSE,FALSE,FALSE,genus,3.854849244,0.058,12,3,11,Brassicaceae,Brassicaceae,FALSE,FALSE,FALSE
Arabis,Warea,53.86886,Brassicaceae,no,TRUE,2,TRUE,FALSE,FALSE,genus,1.331199355,0.315,5,3,4,Brassicaceae,Brassicaceae,TRUE,FALSE,FALSE
Cardamine,Iodanthus,26.562478,Brassicaceae,no,FALSE,1,TRUE,FALSE,FALSE,genus,1.748536101,0.059,16,17,1,Brassicaceae,Brassicaceae,TRUE,FALSE,FALSE
Geranium,Erodium,61.49529,Geraniaceae,no,FALSE,1,TRUE,FALSE,TRUE,genus,0.625294865,0.833333333,4,5,1,Geraniaceae,Geraniaceae,FALSE,FALSE,FALSE
Geranium,Camissoniopsis,219.379431,Geraniaceae,no,TRUE,20,TRUE,FALSE,TRUE,genus,0.625294865,0.833333333,4,5,1,Geraniaceae,Onagraceae,FALSE,FALSE,FALSE
